idx,soc_value,component_index,mean,sdev,Q,is_sum,sum_mean,sum_sdev
0,[0.0025 0.0025 0.0085],28,-1.0161316553649977e-09,2.0593693907864615e-10,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],29,-2.5514101994263075e-05,1.6244523002113824e-06,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],30,-0.00017175480439792225,2.019031285704795e-05,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],31,-7.979174942726025e-15,9.289808455630905e-16,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],32,-6.560956002363466e-16,4.3548663425742016e-17,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],33,-5.537775060367734e-09,4.214674534973209e-09,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],34,-1.8871038579556444e-15,1.0576267862983979e-16,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],35,-2.000516173926166e-10,1.5613745143215998e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],36,6.449983663729091e-15,2.218711874058365e-15,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],37,-3.8186220370641185e-10,5.846327429104916e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],38,5.2884243923477525e-11,5.793308281196764e-12,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],39,2.2561404547951585e-05,4.603612840215928e-06,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],40,-6.281985896117766e-12,9.743890482708514e-14,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],41,-2.045644425807087e-13,1.6154607634976445e-14,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],42,-1.8276276381636237e-13,6.136388607108239e-14,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],43,2.085591139736407e-13,2.983316424039099e-14,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],44,-4.6786018323904246e-11,2.979181467592667e-12,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],45,-1.5306131455724402e-08,6.802876094303248e-09,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],46,-3.4264317785180735e-13,1.2550128090126967e-14,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],47,-9.832471029689634e-11,5.55056898728888e-12,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],48,-7.163103526782138e-13,3.701557949713354e-14,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],49,7.411417012407546e-13,3.4420778336772305e-14,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],50,-2.1882988710929385e-10,2.533963449871354e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],51,8.271296744873426e-10,1.4310932542649743e-10,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],52,-3.396602543408012e-10,6.863048851179578e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],53,-8.504435048607579e-06,5.414741201836956e-07,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],54,-5.72443616364514e-05,6.730167933628111e-06,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],sum,0.00010397416193373036,2.1317046894389687e-05,8.656790598045076e-05,1,0.00010397416193373036,2.1317046894389687e-05
1,[0.005 0.005 0.017],0,0.0025474589698937108,4.633179222127595e-06,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],1,0.00010058772837779161,7.334600130308395e-07,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],2,1.1437162389425509e-05,8.171895613704658e-07,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],3,-0.004174877291591645,8.22490026734272e-06,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],4,-0.0002804539200978365,1.0145175259441988e-06,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],5,-2.599097828077102e-05,1.5472717782224638e-06,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],6,0.00015685550246685343,1.408774449181383e-05,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],7,1.5760897574176227e-06,1.490213275845577e-08,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],8,1.2027253457341175e-07,1.6496288617410706e-08,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],9,0.0004688701438738425,4.22582960866055e-05,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],10,1.0651045752949086e-05,2.0979813919004437e-07,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],11,2.81838044017332e-06,1.4336472713704639e-07,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],12,1.2682132060816362e-08,3.229573648811941e-08,0.00018773989627090442,0,,
1,[0.005 0.005 0.017],13,0.0004044617612107618,3.8642947603105935e-06,0.00018773989627090442,0,,
