idx,soc_value,component_index,mean,sdev,Q,is_sum,sum_mean,sum_sdev
3,[0.02833333 0.02833333 0.09633333],4,-0.003381136570312577,1.0095138584088084e-05,0.6451469539053764,0,,
3,[0.02833333 0.02833333 0.09633333],5,0.0005557604195641349,3.7576605829555755e-06,0.6451469539053764,0,,
3,[0.02833333 0.02833333 0.09633333],6,-0.00010936022089089776,1.0393198625099977e-06,0.6451469539053764,0,,
3,[0.02833333 0.02833333 0.09633333],7,-0.001125234078283092,3.355536345733492e-06,0.6451469539053764,0,,
3,[0.02833333 0.02833333 0.09633333],sum,0.001012654333933293,2.0708197359650882e-05,0.6451469539053764,1,0.001012654333933293,2.0708197359650882e-05
4,[0.03611111 0.03611111 0.12277778],0,0.000979105868774005,4.503901554997554e-06,0.7042081445502535,0,,
4,[0.03611111 0.03611111 0.12277778],1,0.0033276428329669545,1.2804998086033871e-05,0.7042081445502535,0,,
4,[0.03611111 0.03611111 0.12277778],2,0.0019059339669263604,1.4183060648881047e-05,0.7042081445502535,0,,
4,[0.03611111 0.03611111 0.12277778],3,-0.0004097027396357499,3.863646868911977e-06,0.7042081445502535,0,,
4,[0.03611111 0.03611111 0.12277778],4,-0.0039152939541984245,1.1935650319597916e-05,0.7042081445502535,0,,
4,[0.03611111 0.03611111 0.12277778],5,0.0006333149952025208,4.711023916551586e-06,0.7042081445502535,0,,
4,[0.03611111 0.03611111 0.12277778],6,-0.00013487957965419825,1.282468236091412e-06,0.7042081445502535,0,,
4,[0.03611111 0.03611111 0.12277778],7,-0.0013015915554417635,3.960979582258901e-06,0.7042081445502535,0,,
4,[0.03611111 0.03611111 0.12277778],sum,0.0010845298349397047,2.5617818465925634e-05,0.7042081445502535,1,0.0010845298349397047,2.5617818465925634e-05
5,[0.04388889 0.04388889 0.14922222],0,0.0010728649419097427,5.118141687385117e-06,0.5970932291789576,0,,
5,[0.04388889 0.04388889 0.14922222],1,0.003751917877620308,1.4462380286149753e-05,0.5970932291789576,0,,
5,[0.04388889 0.04388889 0.14922222],2,0.0020475026053523703,1.6143485771557342e-05,0.5970932291789576,0,,
5,[0.04388889 0.04388889 0.14922222],3,-0.0005009742912729216,4.440796838515645e-06,0.5970932291789576,0,,
